,Unnamed: 0,arg0,arg1,v
500,500," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
501,501, by repeated episodes of depression, A disorder, characterized
502,502, by feelings of sadness, An emotional state, characterized
503,503, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
505,505, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
514,514, Some people, seasonal affective disorder, get
517,517," by ongoing feelings of sadness , despair , loss of energy , and difficulty dealing with normal daily life", A mental condition, marked
520,520, Depression, 15 - 25 % of cancer patients, affects
521,521," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
522,522," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
523,523, by repeated episodes of depression, A disorder, characterized
524,524, by feelings of sadness, An emotional state, characterized
525,525, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
527,527, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
536,536, Some people, seasonal affective disorder, get
539,539," by ongoing feelings of sadness , despair , loss of energy , and difficulty dealing with normal daily life", A mental condition, marked
542,542, Depression, 15 - 25 % of cancer patients, affects
543,543, conditions," your thinking , feeling , mood , and behavior", affect
550,550, You," answer questions about your thinking , feelings , and behaviors", will
551,551, Treatment, on which mental disorder you have and how serious it is, depends
552,552, You and your provider, work on a treatment plan just for you, will
555,555, Some people, social support and education, need
561,561, by behavioral and/or psychological abnormalities, A disorder, characterized
565,565," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
566,566," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
567,567, by repeated episodes of depression, A disorder, characterized
568,568, by feelings of sadness, An emotional state, characterized
569,569, by either a dysphoric mood or loss of interest or pleasure in usual activities, An affective disorder, manifested
571,571, Any abnormal condition of the body or mind," discomfort , dysfunction , or distress to the person affected or those in contact with the person", causes
580,580, Some people, seasonal affective disorder, get
583,583," by ongoing feelings of sadness , despair , loss of energy , and difficulty dealing with normal daily life", A mental condition, marked
586,586, Depression, 15 - 25 % of cancer patients, affects
587,587, conditions," your thinking , feeling , mood , and behavior", affect
594,594, You," answer questions about your thinking , feelings , and behaviors", will
595,595, Treatment, on which mental disorder you have and how serious it is, depends
596,596, You and your provider, work on a treatment plan just for you, will
599,599, Some people, social support and education, need
605,605, by behavioral and/or psychological abnormalities, A disorder, characterized
609,609," by mental and physical hyperactivity , disorganisation of behaviour and elevation of", Excitement of psychotic proportions, manifested
610,610," by excitement of psychotic proportions manifested by mental and physical hyperactivity , disorganization of behavior and elevation of mood", A disorder, characterized
611,611, The patient, two or more depressive episodes as described in F33, had
